lon,lat,sst_anomaly
135.125,-24.875,
135.375,-24.875,
135.625,-24.875,
135.875,-24.875,
136.125,-24.875,
136.375,-24.875,
136.625,-24.875,
136.875,-24.875,
137.125,-24.875,
137.375,-24.875,
137.625,-24.875,
137.875,-24.875,
138.125,-24.875,
138.375,-24.875,
138.625,-24.875,
138.875,-24.875,
139.125,-24.875,
139.375,-24.875,
139.625,-24.875,
139.875,-24.875,
140.125,-24.875,
140.375,-24.875,
140.625,-24.875,
140.875,-24.875,
141.125,-24.875,
141.375,-24.875,
141.625,-24.875,
141.875,-24.875,
142.125,-24.875,
142.375,-24.875,
142.625,-24.875,
142.875,-24.875,
143.125,-24.875,
143.375,-24.875,
143.625,-24.875,
143.875,-24.875,
144.125,-24.875,
144.375,-24.875,
144.625,-24.875,
144.875,-24.875,
145.125,-24.875,
145.375,-24.875,
145.625,-24.875,
145.875,-24.875,
146.125,-24.875,
146.375,-24.875,
146.625,-24.875,
146.875,-24.875,
147.125,-24.875,
147.375,-24.875,
147.625,-24.875,
147.875,-24.875,
148.125,-24.875,
148.375,-24.875,
148.625,-24.875,
148.875,-24.875,
149.125,-24.875,
149.375,-24.875,
149.625,-24.875,
149.875,-24.875,
150.125,-24.875,
150.375,-24.875,
150.625,-24.875,
150.875,-24.875,
151.125,-24.875,
151.375,-24.875,
151.625,-24.875,
151.875,-24.875,
152.125,-24.875,
152.375,-24.875,
152.625,-24.875,0.563
152.875,-24.875,0.5028
153.125,-24.875,0.4542
153.375,-24.875,0.4412
153.625,-24.875,0.4852
153.875,-24.875,0.5146
154.125,-24.875,0.5115
154.375,-24.875,0.5146
154.625,-24.875,0.5524
154.875,-24.875,0.6173
155.125,-24.875,0.6848
155.375,-24.875,0.7307
155.625,-24.875,0.7511
155.875,-24.875,0.7035
156.125,-24.875,0.6023
156.375,-24.875,0.4713
156.625,-24.875,0.3382
156.875,-24.875,0.2562
157.125,-24.875,0.2486
157.375,-24.875,0.2776
157.625,-24.875,0.3508
157.875,-24.875,0.4403
158.125,-24.875,0.557
158.375,-24.875,0.6578
158.625,-24.875,0.7652
158.875,-24.875,0.8372
159.125,-24.875,0.8398
159.375,-24.875,0.7694
159.625,-24.875,0.6233
159.875,-24.875,0.4728
160.125,-24.875,0.3385
160.375,-24.875,0.2611
160.625,-24.875,0.2769
160.875,-24.875,0.3289
161.125,-24.875,0.4012
161.375,-24.875,0.4366
161.625,-24.875,0.4369
161.875,-24.875,0.3912
162.125,-24.875,0.3204
162.375,-24.875,0.2644
162.625,-24.875,0.2368
162.875,-24.875,0.2251
163.125,-24.875,0.192
163.375,-24.875,0.1125
163.625,-24.875,0.0067
163.875,-24.875,-0.0991
164.125,-24.875,-0.1495
164.375,-24.875,-0.1669
164.625,-24.875,-0.1708
164.875,-24.875,-0.1865
165.125,-24.875,-0.2247
165.375,-24.875,-0.2204
165.625,-24.875,-0.1762
165.875,-24.875,-0.1043
166.125,-24.875,-0.0399
166.375,-24.875,0.038
166.625,-24.875,0.1273
166.875,-24.875,0.2479
167.125,-24.875,0.3934
167.375,-24.875,0.51
167.625,-24.875,0.5412
167.875,-24.875,0.479
168.125,-24.875,0.4149
168.375,-24.875,0.4112
168.625,-24.875,0.4877
168.875,-24.875,0.5385
169.125,-24.875,0.4591
169.375,-24.875,0.2683
169.625,-24.875,0.047
169.875,-24.875,-0.1364
170.125,-24.875,-0.257
170.375,-24.875,-0.3457
170.625,-24.875,-0.4248
170.875,-24.875,-0.4806
171.125,-24.875,-0.4763
171.375,-24.875,-0.4074
171.625,-24.875,-0.3126
171.875,-24.875,-0.2078
172.125,-24.875,-0.053
172.375,-24.875,0.0951
172.625,-24.875,0.1843
172.875,-24.875,0.2033
173.125,-24.875,0.2032
173.375,-24.875,0.1449
173.625,-24.875,0.0633
173.875,-24.875,-0.0324
174.125,-24.875,-0.1478
174.375,-24.875,-0.2474
174.625,-24.875,-0.2951
174.875,-24.875,-0.3213
175.125,-24.875,-0.3683
175.375,-24.875,-0.4004
175.625,-24.875,-0.4254
175.875,-24.875,-0.456
176.125,-24.875,-0.4533
176.375,-24.875,-0.4207
176.625,-24.875,-0.3597
176.875,-24.875,-0.2987
177.125,-24.875,-0.1993
177.375,-24.875,-0.094
177.625,-24.875,0.0459
177.875,-24.875,0.2095
178.125,-24.875,0.3427
178.375,-24.875,0.4726
178.625,-24.875,0.5687
178.875,-24.875,0.5811
179.125,-24.875,0.4931
179.375,-24.875,0.3634
179.625,-24.875,0.2551
135.125,-24.625,
135.375,-24.625,
135.625,-24.625,
135.875,-24.625,
136.125,-24.625,
136.375,-24.625,
136.625,-24.625,
136.875,-24.625,
137.125,-24.625,
137.375,-24.625,
137.625,-24.625,
137.875,-24.625,
138.125,-24.625,
138.375,-24.625,
138.625,-24.625,
138.875,-24.625,
139.125,-24.625,
139.375,-24.625,
139.625,-24.625,
139.875,-24.625,
140.125,-24.625,
140.375,-24.625,
140.625,-24.625,
140.875,-24.625,
141.125,-24.625,
141.375,-24.625,
141.625,-24.625,
141.875,-24.625,
142.125,-24.625,
142.375,-24.625,
142.625,-24.625,
142.875,-24.625,
143.125,-24.625,
143.375,-24.625,
143.625,-24.625,
143.875,-24.625,
144.125,-24.625,
144.375,-24.625,
144.625,-24.625,
144.875,-24.625,
145.125,-24.625,
145.375,-24.625,
145.625,-24.625,
145.875,-24.625,
146.125,-24.625,
146.375,-24.625,
146.625,-24.625,
146.875,-24.625,
147.125,-24.625,
147.375,-24.625,
147.625,-24.625,
147.875,-24.625,
148.125,-24.625,
148.375,-24.625,
148.625,-24.625,
148.875,-24.625,
149.125,-24.625,
149.375,-24.625,
149.625,-24.625,
149.875,-24.625,
150.125,-24.625,
150.375,-24.625,
150.625,-24.625,
150.875,-24.625,
151.125,-24.625,
151.375,-24.625,
151.625,-24.625,
151.875,-24.625,
152.125,-24.625,0.5437
152.375,-24.625,0.4947
152.625,-24.625,0.4749
152.875,-24.625,0.4496
153.125,-24.625,0.4437
153.375,-24.625,0.4587
153.625,-24.625,0.4817
153.875,-24.625,0.4709
154.125,-24.625,0.437
154.375,-24.625,0.4162
154.625,-24.625,0.4696
154.875,-24.625,0.5475
155.125,-24.625,0.621
155.375,-24.625,0.6797
155.625,-24.625,0.7168
155.875,-24.625,0.6661
156.125,-24.625,0.594
156.375,-24.625,0.5037
156.625,-24.625,0.411
156.875,-24.625,0.3595
157.125,-24.625,0.3467
157.375,-24.625,0.3694
157.625,-24.625,0.424
157.875,-24.625,0.4968
158.125,-24.625,0.5755
158.375,-24.625,0.6323
158.625,-24.625,0.7047
158.875,-24.625,0.7448
159.125,-24.625,0.7611
159.375,-24.625,0.7157
159.625,-24.625,0.6106
159.875,-24.625,0.487
160.125,-24.625,0.3601
160.375,-24.625,0.2694
160.625,-24.625,0.2444
160.875,-24.625,0.2443
161.125,-24.625,0.2825
161.375,-24.625,0.3199
161.625,-24.625,0.3561
161.875,-24.625,0.3215
162.125,-24.625,0.2352
162.375,-24.625,0.1558
162.625,-24.625,0.1101
162.875,-24.625,0.0828
163.125,-24.625,0.0408
163.375,-24.625,-0.0486
163.625,-24.625,-0.1545
163.875,-24.625,-0.2474
164.125,-24.625,-0.2766
164.375,-24.625,-0.2723
164.625,-24.625,-0.2559
164.875,-24.625,-0.2595
165.125,-24.625,-0.2821
165.375,-24.625,-0.2977
165.625,-24.625,-0.2781
165.875,-24.625,-0.2281
166.125,-24.625,-0.1906
166.375,-24.625,-0.123
166.625,-24.625,-0.0192
166.875,-24.625,0.1404
167.125,-24.625,0.3208
167.375,-24.625,0.4883
167.625,-24.625,0.5587
167.875,-24.625,0.502
168.125,-24.625,0.4097
168.375,-24.625,0.3486
168.625,-24.625,0.3801
168.875,-24.625,0.4325
169.125,-24.625,0.3967
169.375,-24.625,0.2343
169.625,-24.625,0.0128
169.875,-24.625,-0.1753
170.125,-24.625,-0.3108
170.375,-24.625,-0.394
170.625,-24.625,-0.4422
170.875,-24.625,-0.4561
171.125,-24.625,-0.4255
171.375,-24.625,-0.3432
171.625,-24.625,-0.2277
171.875,-24.625,-0.1148
172.125,-24.625,0.0291
172.375,-24.625,0.1781
172.625,-24.625,0.2425
172.875,-24.625,0.2591
173.125,-24.625,0.2393
173.375,-24.625,0.1632
173.625,-24.625,0.0663
173.875,-24.625,-0.063
174.125,-24.625,-0.189
174.375,-24.625,-0.2645
174.625,-24.625,-0.2795
174.875,-24.625,-0.2797
175.125,-24.625,-0.3114
175.375,-24.625,-0.3455
175.625,-24.625,-0.3716
175.875,-24.625,-0.4063
176.125,-24.625,-0.4355
176.375,-24.625,-0.4373
176.625,-24.625,-0.4247
176.875,-24.625,-0.4008
177.125,-24.625,-0.3122
177.375,-24.625,-0.1756
177.625,-24.625,-0.0123
177.875,-24.625,0.1509
178.125,-24.625,0.2764
178.375,-24.625,0.3857
178.625,-24.625,0.4301
178.875,-24.625,0.3905
179.125,-24.625,0.2713
179.375,-24.625,0.1266
179.625,-24.625,0.0215
135.125,-24.375,
135.375,-24.375,
135.625,-24.375,
135.875,-24.375,
136.125,-24.375,
136.375,-24.375,
136.625,-24.375,
136.875,-24.375,
137.125,-24.375,
137.375,-24.375,
137.625,-24.375,
137.875,-24.375,
138.125,-24.375,
138.375,-24.375,
138.625,-24.375,
138.875,-24.375,
139.125,-24.375,
139.375,-24.375,
139.625,-24.375,
139.875,-24.375,
140.125,-24.375,
140.375,-24.375,
140.625,-24.375,
140.875,-24.375,
141.125,-24.375,
141.375,-24.375,
141.625,-24.375,
141.875,-24.375,
142.125,-24.375,
142.375,-24.375,
142.625,-24.375,
142.875,-24.375,
143.125,-24.375,
143.375,-24.375,
143.625,-24.375,
143.875,-24.375,
144.125,-24.375,
144.375,-24.375,
144.625,-24.375,
144.875,-24.375,
145.125,-24.375,
145.375,-24.375,
145.625,-24.375,
145.875,-24.375,
146.125,-24.375,
146.375,-24.375,
146.625,-24.375,
146.875,-24.375,
147.125,-24.375,
147.375,-24.375,
147.625,-24.375,
147.875,-24.375,
148.125,-24.375,
148.375,-24.375,
148.625,-24.375,
148.875,-24.375,
149.125,-24.375,
149.375,-24.375,
149.625,-24.375,
149.875,-24.375,
150.125,-24.375,
150.375,-24.375,
150.625,-24.375,
150.875,-24.375,
151.125,-24.375,
151.375,-24.375,
151.625,-24.375,
151.875,-24.375,
152.125,-24.375,0.417
152.375,-24.375,0.3717
152.625,-24.375,0.351
152.875,-24.375,0.3612
153.125,-24.375,0.3926
153.375,-24.375,0.4254
153.625,-24.375,0.4501
153.875,-24.375,0.4317
154.125,-24.375,0.3834
154.375,-24.375,0.3548
154.625,-24.375,0.3775
154.875,-24.375,0.4482
155.125,-24.375,0.5295
155.375,-24.375,0.6154
155.625,-24.375,0.6653
155.875,-24.375,0.6636
156.125,-24.375,0.6336
156.375,-24.375,0.5767
156.625,-24.375,0.5185
156.875,-24.375,0.487
157.125,-24.375,0.4724
157.375,-24.375,0.4686
