出現紀錄識別碼,階層,學名,中文名,緯度,經度,採樣日期,資料主題,資料來源,引用資訊
ODB:bio:occ:155665,species,Gymnura zonura,菱燕魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155666,species,Hemitrygon akajei,赤魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155667,species,Hemitrygon akajei,赤魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155668,species,Hemitrygon bennettii,黃魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155669,species,Platyrhina sinensis,,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155670,species,Platyrhina sinensis,,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155671,species,Rhinobatos hynnicephalus,斑紋琵琶鱝,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155672,species,Rhinobatos hynnicephalus,斑紋琵琶鱝,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155673,species,Scoliodon laticaudus,寬尾斜齒鯊,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155674,species,Telatrygon acutirostra,尖吻魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155675,species,Telatrygon acutirostra,尖吻魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155676,species,Telatrygon zugei,尖嘴魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155677,species,Telatrygon zugei,尖嘴魟,24.34166,118.28,2021-08-14,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
