occurrenceID,scientificName,chineseName,decimalLatitude,decimalLongitude,eventDate,year,season,samplingProtocol,dataSource,sourceCode
1W-043BQ,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BR,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BS,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BT,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BU,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BV,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BW,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043P1,Synaphobranchus kaupii,高氏合鰓鰻,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043P2,Synaphobranchus kaupii,高氏合鰓鰻,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043P3,Synaphobranchus kaupii,高氏合鰓鰻,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-0416V,Antimora microlepis,細鱗擬深海鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-0417S,Argyropelecus affinis,長銀斧魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-0417U,Argyropelecus gigas,巨銀斧魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-0418R,Avocettina infans,喙吻鰻,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041HR,Cetonurus globiceps,球首鯨尾鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041DR,Coelorinchus cingulatus,帶斑腔吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041DS,Coelorinchus cingulatus,帶斑腔吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041DU,Coelorinchus cingulatus,帶斑腔吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041E2,Coelorinchus cingulatus,帶斑腔吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041EC,Coelorinchus cingulatus,帶斑腔吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041EQ,Coelorinchus kishinouyei,岸上氏腔吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041L8,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041L9,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041LA,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041LB,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041LC,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041LD,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041LE,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041LK,Coryphaenoides marginatus,黑緣突吻鱈,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041WU,Diaphus watasei,渡瀨眶燈魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041X3,Diaphus watasei,渡瀨眶燈魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041X6,Diaphus watasei,渡瀨眶燈魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041XA,Diaphus watasei,渡瀨眶燈魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041XC,Diaphus watasei,渡瀨眶燈魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041XD,Diaphus watasei,渡瀨眶燈魚,22.12,120.01,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
