date,sst_anomaly
1997-11-01,2.380988475
1997-12-01,2.2762405749999997
1998-01-01,2.2004270624999998
1998-02-01,1.8682455500000001
1998-03-01,1.338461225
1998-04-01,0.6974341
1998-05-01,0.6307688375
1998-06-01,-0.6629743125
1998-07-01,-1.113193825
1998-08-01,-1.2188063125000002
1998-09-01,-1.0404896750000001
1998-10-01,-1.2795583750000001
1998-11-01,-1.2029744125
1998-12-01,-1.713059125
1999-01-01,-1.5511874374999999
1999-02-01,-1.0609830875
1999-03-01,-0.804250375
1999-04-01,-0.8345595499999999
1999-05-01,-0.7728043625000001
1999-06-01,-0.9113405375
1999-07-01,-0.882307575
1999-08-01,-1.1601894875
1999-09-01,-0.978408375
1999-10-01,-1.0761112375
1999-11-01,-1.4842684125
1999-12-01,-1.58618035
2000-01-01,-1.712468825
2000-02-01,-1.4819171875
2000-03-01,-1.0311728125
2000-04-01,-0.7189743375000001
2000-05-01,-0.81228615
2000-06-01,-0.5082571625
2000-07-01,-0.5762666875
2000-08-01,-0.3983329
2000-09-01,-0.46715845
2000-10-01,-0.5875870875000001
2000-11-01,-0.7377268
2000-12-01,-0.9838656375
2001-01-01,-0.6859111124999999
2001-02-01,-0.4973083
2001-03-01,-0.2615491375
2001-04-01,-0.38782175
2001-05-01,-0.29640797500000005
2001-06-01,0.040979375
2001-07-01,0.060694000000000005
2001-08-01,0.0038478124999999997
2001-09-01,-0.137553925
2001-10-01,-0.1287889375
2001-11-01,-0.30151845
2001-12-01,-0.44028005000000003
2002-01-01,-0.08884223749999999
2002-02-01,0.13087361250000001
2002-03-01,0.0654288875
2002-04-01,0.22598949999999998
2002-05-01,0.38092739999999997
2002-06-01,0.8254393250000001
2002-07-01,0.7606123874999999
2002-08-01,0.789257725
2002-09-01,0.9412707874999999
2002-10-01,1.194205575
2002-11-01,1.4505398125
2002-12-01,1.4355856249999999
2003-01-01,0.996455925
2003-02-01,0.736940125
2003-03-01,0.634520525
2003-04-01,0.038133975
2003-05-01,-0.45701265
2003-06-01,-0.1632290625
2003-07-01,0.197355825
2003-08-01,0.1175380375
2003-09-01,0.2560154875
2003-10-01,0.5599071875
2003-11-01,0.4016584875
2003-12-01,0.443938725
2004-01-01,0.3063142875
2004-02-01,0.24267355000000002
2004-03-01,-0.07374175
2004-04-01,0.1379888625
2004-05-01,0.24428481249999998
2004-06-01,0.1821522
2004-07-01,0.6447114125000001
2004-08-01,0.7337190375
2004-09-01,0.736798075
2004-10-01,0.7701541875000001
2004-11-01,0.7710921875
2004-12-01,0.7266309625
2005-01-01,0.7027514374999999
2005-02-01,0.29774672500000005
2005-03-01,0.3828941375
2005-04-01,0.320508225
2005-05-01,0.393871725
2005-06-01,0.3984929625
2005-07-01,0.2251484625
2005-08-01,0.1354240625
2005-09-01,-0.0687537
2005-10-01,0.0526378875
2005-11-01,-0.365954025
2005-12-01,-0.729299575
2006-01-01,-0.8586982625
2006-02-01,-0.6139940749999999
2006-03-01,-0.5772085499999999
2006-04-01,-0.09729535
2006-05-01,0.1073849875
2006-06-01,0.2880894625
2006-07-01,0.14466225
2006-08-01,0.44571510000000003
2006-09-01,0.6056128375
