date,sst
1982-01-01,26.58352502441406
1982-02-01,26.455039111852646
1982-03-01,27.034319427251816
1982-04-01,27.782715607404707
1982-05-01,28.324911155700683
1982-06-01,28.31810474514961
1982-07-01,27.516773301362992
1982-08-01,27.732328254938125
1982-09-01,27.987849442481995
1982-10-01,28.516157249450682
1982-11-01,28.5204634206295
1982-12-01,28.87352210187912
1983-01-01,28.718636561870575
1983-02-01,28.55879184985161
1983-03-01,28.47770203971863
1983-04-01,28.50638446521759
1983-05-01,28.552775336027146
1983-06-01,28.123855342388154
1983-07-01,26.856890481472014
1983-08-01,26.345355148792265
1983-09-01,26.26737878227234
1983-10-01,25.61647472977638
1983-11-01,25.378511224269868
1983-12-01,25.349157909631728
1984-01-01,25.488599532842635
1984-02-01,26.510902154684068
1984-03-01,26.63817305159569
1984-04-01,27.227732127666474
1984-05-01,27.125026483297347
1984-06-01,26.579541455984117
1984-07-01,26.535575528621674
1984-08-01,26.290083971977232
1984-09-01,26.273234321594238
1984-10-01,25.92423136806488
1984-11-01,25.38342552089691
1984-12-01,25.040704526662825
1985-01-01,25.162136208057404
1985-02-01,25.72688330769539
1985-03-01,26.272210489034652
1985-04-01,26.629193754434585
1985-05-01,26.73220618414879
1985-06-01,26.558999005794526
1985-07-01,26.439711877584458
1985-08-01,26.200602418899535
1985-09-01,25.901711241722108
1985-10-01,25.948741090536117
1985-11-01,26.17563174033165
1985-12-01,25.988194805145262
1986-01-01,25.76726155734062
1986-02-01,25.857658769845962
1986-03-01,26.568628690958022
1986-04-01,27.236774105072023
1986-05-01,27.260156928539278
1986-06-01,27.33080547261238
1986-07-01,27.216105113506316
1986-08-01,27.056667169094087
1986-09-01,27.12622555565834
1986-10-01,27.243226142168044
1986-11-01,27.313990102767946
1986-12-01,27.434446957588197
1987-01-01,27.48295838046074
1987-02-01,27.520014622926713
1987-03-01,28.10345251107216
1987-04-01,28.239019089698793
1987-05-01,28.180281923294068
1987-06-01,28.429840747833254
1987-07-01,28.3282713060379
1987-08-01,28.07300223302841
1987-09-01,28.044813255786895
1987-10-01,27.683470798254014
1987-11-01,27.604897294044495
1987-12-01,27.342645604610443
1988-01-01,27.171257657051086
1988-02-01,26.88309015750885
1988-03-01,27.22260383081436
1988-04-01,27.17471545624733
1988-05-01,26.40947041487694
1988-06-01,25.879932950258254
1988-07-01,25.452178164958955
1988-08-01,25.368247236251833
1988-09-01,25.75412400317192
1988-10-01,24.619855880498886
1988-11-01,24.468620277643204
1988-12-01,24.512771619081498
1989-01-01,24.448360468387605
1989-02-01,25.16387134003639
1989-03-01,25.696879674196243
1989-04-01,26.411276000261307
1989-05-01,26.925061634778977
1989-06-01,26.99084610891342
1989-07-01,26.68124371576309
1989-08-01,26.128008085250855
1989-09-01,26.195408477544785
1989-10-01,26.142572137117387
1989-11-01,26.12870670890808
1989-12-01,26.389976894140244
1990-01-01,26.396169430732726
1990-02-01,26.68669261574745
1990-03-01,27.00337334346771
1990-04-01,27.709034796476363
1990-05-01,27.89363936781883
1990-06-01,27.393518851518632
1990-07-01,27.23801796245575
1990-08-01,26.943354325294493
1990-09-01,26.659696452140807
1990-10-01,26.888048347949983
1990-11-01,26.652571321725844
1990-12-01,26.800650429725646
1991-01-01,26.84278075313568
1991-02-01,26.818350820064545
1991-03-01,27.100022280931473
1991-04-01,27.857542812108992
1991-05-01,28.104681292057037
1991-06-01,28.071351091146468
1991-07-01,27.729413447856903
1991-08-01,27.460108473777773
